분류,지표,값,비고
GA 가중치,RTT,0.5809454832250976,전체 하이브리드 Pearson r 최적화
GA 가중치,UTIL,0.4190545167749023,전체 하이브리드 Pearson r 최적화
혼합환경,GA Pearson r,0.7663794384225195,유효표본 393개
혼합환경,GA Spearman rho,0.7421206636021788,순위 일치도
혼합환경,GA-기존 RSSI Delta r,0.06295027822884747,양수이면 GA 우세
혼합환경,GA-APQI Delta r,0.06631817448667232,양수이면 GA 우세
혼잡다수환경,GA Pearson r,0.5858500280440864,유효표본 81개
혼잡다수환경,GA-기존 RSSI Delta r,0.36414632171920114,양수이면 GA 우세
혼잡다수환경,GA-APQI Delta r,0.0561012933100824,양수이면 GA 우세
교차검증,5-fold OOF Pearson r,0.7616211843046455,상태 비율 층화
교차검증,세션단위 OOF Pearson r,0.7146225458350001,측정 세션 누출 방지
