Source_Sheet,Source_Excel_Row,RSSI_dBm,Link_Mbps,UTIL_percent,RTT_ms,PacketLoss_percent,Upload_Mbps,Download_Mbps,Actual_Mbps,Is_Congested,State,Environment,RSSI_Score_0_100,GA_Normalized_RTT,GA_Normalized_UTIL,GA_Congestion_Score_0_100,GA_Hybrid_Score_0_100,APQI_raw,APQI_Qualified,APQI_Score_0_100
NATURAL_1H_R1,3,-79,960.75,17,3,0.0,21.9789,7.9566,29.935499999999998,False,정상,RSSI 변화 환경,33.9622641509434,0.9928571428571429,0.8620689655172413,93.80497664021001,33.9622641509434,1.939484580680538,True,19.354004236137563
NATURAL_1H_R1,4,-78,960.75,12,4,0.0,4.6096,11.7352,16.3448,False,정상,RSSI 변화 환경,35.84905660377358,0.9857142857142858,0.9195402298850575,95.7983748725733,35.84905660377358,2.28916420916742,True,25.078237462320768
NATURAL_1H_R1,5,-78,960.75,88,69,0.0,8.4026,2.7223,11.1249,True,혼잡,RSSI 변화 환경,35.84905660377358,0.5214285714285714,0.04597701149425293,32.21884477304221,32.21884477304221,0.6104883231138556,False,0.0
NATURAL_1H_R1,6,-80,960.75,10,6,0.0,12.5483,8.5853,21.1336,False,정상,RSSI 변화 환경,32.075471698113205,0.9714285714285714,0.9425287356321839,95.93179647040421,32.075471698113205,2.3583699621427057,True,26.211131226645445
NATURAL_1H_R1,7,-61,960.75,12,3,0.0,9.4245,7.9482,17.372700000000002,False,정상,RSSI 변화 환경,67.9245283018868,0.9928571428571429,0.9195402298850575,96.2133359320198,67.9245283018868,3.410314941191905,True,43.43140347197564
NATURAL_1H_R1,8,-80,960.75,14,3,0.0,10.4688,8.5872,19.055999999999997,False,정상,RSSI 변화 환경,32.075471698113205,0.9928571428571429,0.896551724137931,95.24999221529589,32.075471698113205,2.620644517699779,True,30.504548981058765
NATURAL_1H_R1,9,-80,960.75,18,4,0.0,15.7001,8.5724,24.2725,False,정상,RSSI 변화 환경,32.075471698113205,0.9857142857142858,0.8505747126436781,92.90834372240157,32.075471698113205,2.078345740501526,True,21.627152569980108
NATURAL_1H_R1,10,-80,960.75,45,4,0.0,6.4889,3.5557,10.044599999999999,False,정상,RSSI 변화 환경,32.075471698113205,0.9857142857142858,0.5402298850574713,79.90320354662875,32.075471698113205,1.1201305813543934,True,5.941231501151769
NATURAL_1H_R1,11,-80,960.75,25,5,0.0,7.533,7.5263,15.0593,False,정상,RSSI 변화 환경,32.075471698113205,0.9785714285714285,0.7701149425287357,89.12167965442137,32.075471698113205,1.5448954608136611,True,12.894605499052997
NATURAL_1H_R1,12,-81,960.75,14,4,0.0,13.1777,5.2287,18.406399999999998,False,정상,RSSI 변화 환경,30.18867924528302,0.9857142857142858,0.896551724137931,94.83503115584939,30.18867924528302,1.9352373224968478,True,19.28447689043412
