환경,원표본수,NaN_공란제외수,측정오류제외수,유효표본수,정상상태수,혼잡상태수,중복제거수,처리
RSSI 변화 환경,319,5,2,312,298,14,0,"NaN/공란 및 지정 측정오류 2행만 제외, 중복 유지"
RSSI 양호·혼잡 환경,81,0,0,81,23,58,0,"NaN/공란 및 지정 측정오류 2행만 제외, 중복 유지"
혼합환경,400,5,2,393,321,72,0,"NaN/공란 및 지정 측정오류 2행만 제외, 중복 유지"
NATURAL_1H_R1,57,0,1,56,55,1,0,"NaN/공란 및 지정 측정오류만 제외, 중복 유지"
OPEN2_1H_R1,57,2,0,55,52,3,0,"NaN/공란 및 지정 측정오류만 제외, 중복 유지"
OPEN2_20M_R1,14,0,0,14,13,1,0,"NaN/공란 및 지정 측정오류만 제외, 중복 유지"
FREE1_1H_R1,66,0,0,66,62,4,0,"NaN/공란 및 지정 측정오류만 제외, 중복 유지"
FREE1_1H_R2,66,0,1,65,65,0,0,"NaN/공란 및 지정 측정오류만 제외, 중복 유지"
MOVE_OPEN2_1H_R1,28,1,0,27,25,2,0,"NaN/공란 및 지정 측정오류만 제외, 중복 유지"
MOVE_OPEN2_1H_R2,31,2,0,29,26,3,0,"NaN/공란 및 지정 측정오류만 제외, 중복 유지"
CONGESTED_OPEN2_R1,65,0,0,65,14,51,0,"NaN/공란 및 지정 측정오류만 제외, 중복 유지"
CONGESTED_OPEN2_R2,16,0,0,16,9,7,0,"NaN/공란 및 지정 측정오류만 제외, 중복 유지"
